"","Rk","G","Date","Age","Tm","Column1","Opp","_1","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","Name"
"297",39,38,2023-01-06,"34-280","MIL",H,"CHO","L (-29)","1","18:57","3","5",".600","1","3",".333","2","2","1.000","3","1","4","1","0","0","0","1","9","9.4","-11","Robin Lopez"
"298",40,39,2023-01-09,"34-283","MIL","@","NYK","W (+4)","1","32:38","7","16",".438","3","9",".333","0","1",".000","4","3","7","2","1","3","3","3","17","12.2","-3","Robin Lopez"
"299",41,40,2023-01-11,"34-285","MIL","@","ATL","W (+9)","1","32:10","8","13",".615","4","6",".667","0","1",".000","4","8","12","1","1","2","1","2","20","20.2","+4","Robin Lopez"
"300",42,41,2023-01-12,"34-286","MIL","@","MIA","L (-6)","1","31:31","2","12",".167","2","7",".286","0","0",NA,"1","2","3","2","1","0","0","1","6","1.7","-7","Robin Lopez"
"301",43,42,2023-01-14,"34-288","MIL","@","MIA","L (-16)","1","33:23","5","10",".500","3","5",".600","0","0",NA,"1","3","4","1","0","2","2","4","13","8.1","-13","Robin Lopez"
"302",44,43,2023-01-16,"34-290","MIL",H,"IND","W (+13)","1","33:37","8","11",".727","3","5",".600","0","0",NA,"2","4","6","1","0","1","2","1","19","16.1","+12","Robin Lopez"
"303",45,44,2023-01-17,"34-291","MIL",H,"TOR","W (+8)","1","29:22","7","12",".583","3","5",".600","2","2","1.000","0","1","1","1","0","2","1","3","19","13.6","+9","Robin Lopez"
"304",46,45,2023-01-21,"34-295","MIL","@","CLE","L (-12)","1","34:26","5","14",".357","0","6",".000","0","0",NA,"0","5","5","0","0","4","3","4","10","1.9","+4","Robin Lopez"
"305",47,46,2023-01-23,"34-297","MIL","@","DET","W (+20)","1","24:02","8","12",".667","2","6",".333","3","4",".750","1","3","4","1","0","2","0","1","21","18.7","+15","Robin Lopez"
"306",48,47,2023-01-25,"34-299","MIL",H,"DEN","W (+8)","1","32:00","2","11",".182","0","3",".000","1","1","1.000","1","3","4","2","0","4","1","3","5","1.7","+14","Robin Lopez"
"307",49,48,2023-01-27,"34-301","MIL","@","IND","W (+10)","1","24:29","5","8",".625","3","6",".500","2","2","1.000","1","5","6","2","1","1","3","4","15","12.1","+12","Robin Lopez"
"308",50,49,2023-01-29,"34-303","MIL",H,"NOP","W (+25)","1","31:57","6","12",".500","0","4",".000","3","4",".750","2","6","8","3","1","2","1","2","15","14.5","+26","Robin Lopez"
"309",51,50,2023-01-31,"34-305","MIL",H,"CHO","W (+9)","1","27:30","3","10",".300","0","3",".000","2","2","1.000","0","11","11","2","0","5","2","6","8","6.0","+7","Robin Lopez"
"310",52,51,2023-02-02,"34-307","MIL",H,"LAC","W (+1)","1","23:22","3","5",".600","0","2",".000","0","0",NA,"2","3","5","0","0","0","1","2","6","4.2","-32","Robin Lopez"
"311",53,52,2023-02-04,"34-309","MIL",H,"MIA","W (+8)","1","33:21","4","11",".364","0","3",".000","1","4",".250","2","4","6","0","0","3","0","4","9","4.8","+6","Robin Lopez"
"312",54,53,2023-02-06,"34-311","MIL","@","POR","W (+19)","1","31:38","9","12",".750","2","5",".400","7","9",".778","1","8","9","0","1","0","0","3","27","24.3","+17","Robin Lopez"
"313",55,54,2023-02-09,"34-314","MIL","@","LAL","W (+9)","1","32:34","3","8",".375","1","3",".333","2","2","1.000","6","4","10","3","0","3","1","3","9","12.0","+13","Robin Lopez"
"314",56,55,2023-02-10,"34-315","MIL","@","LAC","W (+13)","1","32:18","9","13",".692","4","6",".667","0","0",NA,"2","13","15","1","1","3","1","1","22","24.2","+22","Robin Lopez"
"315",57,56,2023-02-14,"34-319","MIL",H,"BOS","W (+6)","1","24:53","0","3",".000","0","3",".000","4","4","1.000","1","1","2","1","0","0","3","3","4","-0.6","-5","Robin Lopez"
"316",58,57,2023-02-16,"34-321","MIL","@","CHI","W (+12)","1","33:12","13","18",".722","3","6",".500","4","7",".571","2","5","7","2","0","4","0","3","33","30.3","+28","Robin Lopez"
"317",59,58,2023-02-24,"34-329","MIL",H,"MIA","W (+29)","1","27:04","7","12",".583","1","2",".500","2","2","1.000","3","4","7","1","0","0","2","4","17","11.8","+20","Robin Lopez"
"318",60,59,2023-02-26,"34-331","MIL",H,"PHO","W (+3)","1","35:34","9","17",".529","2","8",".250","2","4",".500","2","11","13","0","0","4","1","0","22","19.4","+8","Robin Lopez"
"319",61,60,2023-02-28,"34-333","MIL","@","BRK","W (+14)","1","28:22","6","13",".462","1","4",".250","0","0",NA,"4","6","10","1","0","2","1","2","13","11.2","-6","Robin Lopez"
"320",62,61,2023-03-01,"34-334","MIL",H,"ORL","W (+22)","1","27:04","6","9",".667","4","5",".800","2","3",".667","1","2","3","2","1","0","2","1","18","15.0","+25","Robin Lopez"
"321",63,62,2023-03-04,"34-337","MIL",H,"PHI","L (-3)","1","33:15","10","16",".625","3","5",".600","3","4",".750","2","4","6","4","0","1","1","4","26","21.9","+11","Robin Lopez"
"322",64,63,2023-03-05,"34-338","MIL","@","WAS","W (+6)","1","27:19","6","14",".429","3","6",".500","0","1",".000","1","5","6","1","1","3","2","3","15","10.0","-9","Robin Lopez"
"323",65,64,2023-03-07,"34-340","MIL","@","ORL","W (+11)","1","34:06","9","14",".643","0","1",".000","8","9",".889","2","4","6","1","1","3","5","3","26","19.6","+15","Robin Lopez"
"324",66,65,2023-03-09,"34-342","MIL",H,"BRK","W (+5)","1","35:58","10","20",".500","3","7",".429","1","2",".500","5","5","10","3","1","9","2","3","24","24.8","-1","Robin Lopez"
"325",67,66,2023-03-11,"34-344","MIL","@","GSW","L (-9)","1","38:14","8","16",".500","1","6",".167","2","2","1.000","1","6","7","1","1","5","2","1","19","16.3","-12","Robin Lopez"
"326",68,67,2023-03-13,"34-346","MIL","@","SAC","W (+9)","1","36:35","9","14",".643","4","6",".667","1","2",".500","1","7","8","4","0","3","1","4","23","21.5","+21","Robin Lopez"
"327",69,68,2023-03-14,"34-347","MIL","@","PHO","W (+12)","1","34:07","10","14",".714","1","5",".200","0","1",".000","2","8","10","1","2","1","0","2","21","21.2","+12","Robin Lopez"
"328",71,69,2023-03-19,"34-352","MIL",H,"TOR","W (+7)","1","31:30","9","15",".600","1","6",".167","7","7","1.000","1","4","5","2","1","2","1","3","26","22.6","+11","Robin Lopez"
"329",72,70,2023-03-22,"34-355","MIL",H,"SAS","W (+36)","1","24:53","3","6",".500","1","3",".333","4","4","1.000","0","2","2","0","0","2","2","5","11","6.0","+17","Robin Lopez"
"330",73,71,2023-03-24,"34-357","MIL","@","UTA","W (+28)","1","26:27","8","15",".533","1","3",".333","0","0",NA,"3","11","14","2","0","7","1","3","17","19.2","+36","Robin Lopez"
"331",74,72,2023-03-25,"34-358","MIL","@","DEN","L (-23)","1","19:10","5","9",".556","1","4",".250","2","2","1.000","1","1","2","1","0","1","0","4","13","9.5","-7","Robin Lopez"
"332",75,73,2023-03-27,"34-360","MIL","@","DET","W (+9)","1","34:31","8","11",".727","0","1",".000","8","10",".800","5","9","14","2","1","2","1","3","24","26.5","+12","Robin Lopez"
"333",1,1,2022-10-19,"21-123","CLE","@","TOR","L (-3)","1","35:35","5","9",".556","1","3",".333","3","4",".750","0","6","6","1","1","1","3","1","14","10.1","-14","Evan Mobley"
"334",2,2,2022-10-22,"21-126","CLE","@","CHI","W (+32)","1","24:46","7","9",".778","0","0",NA,"2","2","1.000","1","2","3","1","1","1","3","1","16","12.8","+7","Evan Mobley"
"335",3,3,2022-10-23,"21-127","CLE",H,"WAS","W (+10)","1","36:35","2","7",".286","0","0",NA,"6","6","1.000","2","5","7","2","2","1","2","3","10","9.7","-3","Evan Mobley"
"336",4,4,2022-10-26,"21-130","CLE",H,"ORL","W (+11)","1","34:26","9","15",".600","0","0",NA,"2","4",".500","0","3","3","3","1","1","3","4","20","12.4","+3","Evan Mobley"
"337",5,5,2022-10-28,"21-132","CLE","@","BOS","W (+9)","1","41:59","7","12",".583","1","3",".333","4","6",".667","3","7","10","3","1","2","2","4","19","17.7","+2","Evan Mobley"
"338",6,6,2022-10-30,"21-134","CLE",H,"NYK","W (+13)","1","34:15","6","13",".462","0","2",".000","4","4","1.000","2","5","7","3","1","1","2","5","16","12.0","+18","Evan Mobley"
"339",7,7,2022-11-02,"21-137","CLE",H,"BOS","W (+1)","1","32:00","7","8",".875","0","1",".000","1","2",".500","2","5","7","2","0","0","3","3","15","11.9","+15","Evan Mobley"
"340",8,8,2022-11-04,"21-139","CLE","@","DET","W (+24)","1","30:12","5","14",".357","0","1",".000","1","2",".500","2","6","8","2","0","8","1","0","11","12.0","0","Evan Mobley"
"341",9,9,2022-11-06,"21-141","CLE","@","LAL","W (+14)","1","30:27","2","7",".286","0","1",".000","1","2",".500","2","5","7","3","2","1","1","3","5","6.0","+1","Evan Mobley"
"342",10,10,2022-11-07,"21-142","CLE","@","LAC","L (-2)","1","33:41","12","18",".667","0","0",NA,"2","2","1.000","3","5","8","1","0","0","3","6","26","17.1","-20","Evan Mobley"
"343",11,11,2022-11-09,"21-144","CLE","@","SAC","L (-7)","1","35:45","7","10",".700","0","0",NA,"2","3",".667","1","5","6","0","1","0","2","3","16","11.4","-1","Evan Mobley"
"344",12,12,2022-11-11,"21-146","CLE","@","GSW","L (-5)","1","38:45","8","15",".533","0","0",NA,"4","5",".800","8","5","13","4","0","2","3","3","20","19.4","+1","Evan Mobley"
"345",13,13,2022-11-13,"21-148","CLE",H,"MIN","L (-5)","1","32:12","1","4",".250","0","0",NA,"2","6",".333","5","8","13","3","2","0","3","4","4","5.4","-14","Evan Mobley"
"346",14,14,2022-11-16,"21-151","CLE","@","MIL","L (-15)","1","31:09","9","14",".643","0","0",NA,"2","4",".500","3","4","7","2","1","2","0","3","20","18.9","-13","Evan Mobley"
"347",15,15,2022-11-18,"21-153","CLE",H,"CHO","W (+10)","1","45:26","9","14",".643","0","1",".000","3","4",".750","5","13","18","5","1","2","1","4","21","25.1","+15","Evan Mobley"
"348",16,16,2022-11-20,"21-155","CLE",H,"MIA","W (+26)","1","30:00","7","12",".583","0","0",NA,"1","2",".500","4","6","10","5","1","0","3","2","15","14.3","+15","Evan Mobley"
"349",17,17,2022-11-21,"21-156","CLE",H,"ATL","W (+12)","1","35:33","4","6",".667","0","0",NA,"2","2","1.000","2","7","9","3","1","1","4","2","10","9.9","+5","Evan Mobley"
"350",18,18,2022-11-23,"21-158","CLE",H,"POR","W (+18)","1","35:06","4","10",".400","0","0",NA,"2","4",".500","4","8","12","3","0","3","2","2","10","10.4","0","Evan Mobley"
"351",19,19,2022-11-25,"21-160","CLE","@","MIL","L (-15)","1","29:05","2","12",".167","0","1",".000","4","4","1.000","1","7","8","0","3","0","2","0","8","4.2","-16","Evan Mobley"
"352",20,20,2022-11-27,"21-162","CLE","@","DET","W (+8)","1","39:38","8","12",".667","2","2","1.000","2","5",".400","6","7","13","1","0","1","3","3","20","17.1","+4","Evan Mobley"
"353",21,21,2022-11-28,"21-163","CLE","@","TOR","L (-12)","1","32:30","7","14",".500","0","4",".000","4","6",".667","3","12","15","1","1","2","1","1","18","17.6","-8","Evan Mobley"
"354",22,22,2022-11-30,"21-165","CLE",H,"PHI","W (+28)","1","23:47","8","10",".800","0","1",".000","0","0",NA,"0","8","8","3","0","1","1","4","16","14.8","+23","Evan Mobley"
